; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 25 13:49:23 2019
; Channels (16/16)
; Sample rate: 4 MHz
; Sample count: 38.154112M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
4.1624485,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16244975,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16245075,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1624525,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1624535,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16245525,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16245625,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162458,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162459,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1624605,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16246175,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16246325,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16246425,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162466,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162467,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16246875,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16246975,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16247025,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16247175,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16247325,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162475,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162476,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16247775,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16247875,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1624805,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1624815,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16248325,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16248425,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16248575,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16248675,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.1624885,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.1624895,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16249125,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16249225,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162494,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.162495,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16249675,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4.16249775,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4.16249825,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4.162499,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
